hole_id,east,north,elevation,from,to,final_depth,sample_length,dip_direction,dip,cu_perc,lithology,hole_radius
DH-107,7921.84814227,243634.29528458,784.01352312,90.25,95.25,203.6,5,159.56813978,43.66439959,0.97,MzP,1
DH-107,7923.07982694,243630.8766468,780.58699167,95.25,100.25,203.6,5,160.79942577,42.96930288,1.13,MzP,1
DH-107,7924.25069329,243627.39739391,777.20906399,100.25,105.25,203.6,5,161.99491784,42.26612178,1.14,MzP,1
DH-107,7925.36201183,243623.85500794,773.87673563,105.25,110.25,203.6,5,163.16295476,41.55133444,0.99,MzP,1
DH-107,7926.41403875,243620.24884496,770.58932914,110.25,115.25,203.6,5,164.3030971,40.82637559,0.83,MzP,1
DH-107,7927.40701872,243616.57824809,767.34617555,115.25,120.25,203.6,5,165.41503938,40.09269277,0.86,MzP,1
DH-107,7928.341184,243612.84254919,764.14661637,120.25,125.25,203.6,5,166.49860364,39.35173319,0.88,MzP,1
DH-107,7929.24246482,243609.05219112,760.99055706,125.25,130.25,203.6,5,166.74900081,38.66812936,1.1,MzP,1
DH-107,7930.18105098,243605.23924755,757.88257882,130.25,135.25,203.6,5,165.5963119,38.05026974,0.87,MzP,1
DH-107,7932.74210565,243595.89344858,750.47263788,142.45,147.45,203.6,5,163.55630406,36.59403697,0.65,MzP,1
DH-107,7934.78612753,243589.22456685,745.37685976,151.1,156.1,203.6,5,162.27452654,35.63158161,1.03,MzP,1
DH-107,7936.05391998,243585.35000964,742.48730753,156.1,161.1,203.6,5,161.49076562,35.0245731,0.99,MzP,1
DH-107,7937.38699911,243581.46367228,739.64336694,161.1,166.1,203.6,5,160.64748082,34.35552897,1.18,MzP,1
DH-108,7930.05732778,243612.98007163,824.35131278,21.85,26.85,180.5,5,154.93009501,56.10475058,0.55,TnP,1
DH-108,7931.24089258,243610.43912639,820.2099915,26.85,31.85,180.5,5,155.11699757,55.71062348,0.52,TnP,1
DH-108,7932.42866594,243607.87350228,816.0847768,31.85,36.85,180.5,5,155.19852672,55.43947788,0.52,TnP,1
DH-108,7933.62066525,243605.28778218,811.97441848,36.85,41.85,180.5,5,155.30233266,55.1397726,0.65,GnP,1
DH-108,7934.81683045,243602.68070394,807.87947287,41.85,46.85,180.5,5,155.4046087,54.83992805,0.58,GnP,1
DH-108,7936.01717833,243600.05223159,803.79988103,46.85,51.85,180.5,5,155.50538491,54.53997204,0.57,GnP,1
DH-108,7937.22172575,243597.40232883,799.73558419,51.85,56.85,180.5,5,155.6046906,54.23993232,0.44,GnP,1
DH-108,7938.43048963,243594.73095903,795.68652379,56.85,61.85,180.5,5,155.70255441,53.93983658,0.8,GnP,1
DH-108,7939.64352673,243592.03800232,791.65249618,61.85,66.85,180.5,5,155.79891595,53.63998921,0.68,GnP,1
DH-108,7940.86091436,243589.32328261,787.63325519,66.85,71.85,180.5,5,155.89403964,53.33967541,0.44,GnP,1
DH-108,7942.08252033,243586.58636772,783.6274234,71.85,76.85,180.5,5,155.99894036,53.05262542,0.56,GnP,1
DH-108,7943.31631943,243583.82168015,779.643946,76.85,81.85,180.5,5,155.90206132,52.47648577,0.6,MzP,1
DH-108,7944.57180749,243581.02239842,775.69478872,81.85,86.85,180.5,5,155.78592797,51.83904721,0.84,MzP,1
DH-108,7945.64839223,243578.63225821,772.38160555,86.85,90.3,180.5,3.45,155.70307299,51.37288131,1.21,MzP,1
DH-108,7948.13360876,243573.15270872,765.0041773,95.6,100.6,180.5,5,155.506805,50.22928077,0.63,MzP,1
DH-108,7949.47010907,243570.22587098,761.17928442,100.6,105.6,180.5,5,155.40746414,49.62856717,0.75,MzP,1
DH-108,7950.82786735,243567.26589907,757.38940693,105.6,110.6,180.5,5,155.31067225,49.02857695,0.64,MzP,1
DH-108,7952.20734875,243564.27176302,753.63313254,110.6,115.6,180.5,5,155.21624007,48.42884802,0.8,MzP,1
DH-108,7953.60862566,243561.24330315,749.91024607,115.6,120.6,180.5,5,155.12409291,47.82958275,0.73,MzP,1
DH-108,7957.10656812,243553.72997848,740.94897491,127.8,132.8,180.5,5,155.00000111,47.0000008,0.52,MzP,1
